PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
194	java.lang.NoSuchMethodException	Checked	Java	false	false
195	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	false
196	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	false
197	java.io.IOException	Checked	Java	false	false
198	java.lang.Throwable	Checked	Java	false	true
199	org.springframework.web.HttpMediaTypeNotAcceptableException	Checked	System	false	true
200	java.lang.Throwable	Checked	Java	false	false
201	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
202	org.springframework.beans.factory.NoUniqueBeanDefinitionException	Unchecked	System	false	false
203	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
204	org.springframework.web.multipart.support.MissingServletRequestPartException	Checked	System	false	false
204	org.springframework.web.multipart.MultipartException	Unchecked	System	false	false
205	java.io.IOException	Checked	Java	false	false
206	java.lang.Throwable	Checked	Java	false	false
207	java.lang.Exception	Checked	Java	false	false
208	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	false
209	org.springframework.web.HttpMediaTypeException	Checked	System	false	false
210	org.springframework.web.HttpMediaTypeNotAcceptableException	Checked	System	false	false
211	java.lang.Exception	Checked	Java	false	false
212	java.lang.IllegalArgumentException	Unchecked	Java	false	false
213	java.lang.IllegalArgumentException	Unchecked	Java	false	false
214	java.lang.Throwable	Checked	Java	false	false
215	java.lang.Throwable	Checked	Java	false	false
216	java.io.IOException	Checked	Java	false	false
217	java.lang.ClassNotFoundException	Checked	Java	false	false
218	java.lang.Exception	Checked	Java	false	true
219	javax.servlet.ServletException	Checked	Library	false	false
220	java.lang.Throwable	Checked	Java	false	false
221	java.lang.Throwable	Checked	Java	false	false
222	java.lang.ClassNotFoundException	Checked	Java	false	false
222	java.lang.LinkageError	Error	Java	false	false
223	java.lang.Throwable	Checked	Java	false	false
224	java.lang.Throwable	Checked	Java	false	false
225	java.io.IOException	Checked	Java	false	false
226	javax.servlet.ServletException	Checked	Library	false	false
226	java.io.IOException	Checked	Java	false	false
227	java.lang.Exception	Checked	Java	false	false
228	java.lang.Throwable	Checked	Java	false	false
229	java.lang.Exception	Checked	Java	false	false
230	java.lang.Exception	Checked	Java	false	false
231	java.io.IOException	Checked	Java	false	false
232	java.lang.NoSuchMethodException	Checked	Java	false	false
233	java.lang.Exception	Checked	Java	false	false
234	java.lang.Throwable	Checked	Java	false	false
235	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
236	javax.script.ScriptException	Checked	Java	false	false
237	java.lang.Exception	Checked	Java	false	false
238	java.io.IOException	Checked	Java	false	false
239	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	false	false
240	java.io.FileNotFoundException	Checked	Java	false	false
241	java.lang.Throwable	Checked	Java	false	false
242	java.lang.Exception	Checked	Java	false	false
243	java.lang.reflect.InvocationTargetException	Checked	Java	false	false
244	java.lang.Throwable	Checked	Java	false	false
245	java.lang.Throwable	Checked	Java	false	false
246	java.lang.Exception	Checked	Java	false	false
247	java.lang.NoSuchMethodException	Checked	Java	false	false
248	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	false
249	org.springframework.beans.ConversionNotSupportedException	Unchecked	System	false	false
